"Config_File",Stanza,Setting,"Current_Value","Proposed_Value","Stanza_Description","Setting_Description"
limits,tstats,"allow_old_summaries",FALSE,,,
limits,tstats,"apply_search_filter",TRUE,,,
limits,tstats,"chunk_size",10000000,,,
limits,tstats,summariesonly,FALSE,,,
limits,typeahead,"cache_ttl_sec",300,,,
limits,typeahead,"fetch_multiplier",50,,,
limits,typeahead,"max_concurrent_per_user",3,,,
limits,typeahead,maxcount,1000,,,
limits,typeahead,"min_prefix_length",1,,,
limits,typeahead,"use_cache",TRUE,,,
limits,typer,maxlen,10000,,,
limits,viewstates,"enable_reaper",TRUE,,,
limits,viewstates,"reaper_freq",86400,,,
limits,viewstates,"reaper_soft_warn_level",1000,,,
limits,viewstates,ttl,86400,,,
limits,xyseries,"max_mem_usage_mb",200,,,
server,general,"access_logging_for_phonehome",TRUE,,,
server,general,cleanRemoteStorageByDefault,FALSE,,,
server,general,connectUsingIpVersion,auto,,,
server,general,defaultHTTPServerCompressionLevel,6,,,
server,general,"hangup_after_phonehome",FALSE,,,
server,general,instanceType,download,,,
server,general,listenOnIPv6,FALSE,,,
server,general,parallelIngestionPipelines,TRUE,,,
server,general,sessionTimeout,1h,,,
server,general,"tar_format",gnutar,,,
server,general,useHTTPClientCompression,FALSE,,,
server,general,useHTTPServerCompression,TRUE,,,
server,httpServer,allowBasicAuth,TRUE,,,
server,httpServer,allowCookieAuth,TRUE,,,
server,httpServer,allowEmbedTokenAuth,TRUE,,,
server,httpServer,busyKeepAliveIdleTimeout,12,,,
server,httpServer,cookieAuthHttpOnly,TRUE,,,
server,httpServer,cookieAuthSecure,TRUE,,,
server,httpServer,dedicatedIoThreads,FALSE,,,
server,httpServer,"follow-symlinks",FALSE,,,
server,httpServer,forceHttp10,auto,,,
server,httpServer,keepAliveIdleTimeout,7200,,,
server,httpServer,"max-age",3600,,,
server,httpServer,maxSockets,FALSE,,,
server,httpServer,maxThreads,64128,,,
server,httpServer,"max_content_length",2147483648,,,
server,httpServer,streamInWriteTimeout,5,,,
server,httpServer,"x_frame_options_sameorigin",TRUE,,,
server,kvstore,initAttempts,300,,,
server,kvstore,port,8191,,,
server,kvstore,shutdownTimeout,100,,,
server,license,"connection_timeout",30,,,
server,license,"receive_timeout",30,,,
server,license,"report_interval",1m,,,
server,license,"send_timeout",30,,,
server,license,"squash_threshold",2000,,,
server,license,"strict_pool_quota",TRUE,,,
server,shclustering,"access_logging_for_heartbeats",FALSE,,,
server,shclustering,"adhoc_searchhead",FALSE,,,
server,shclustering,"alert_proxying",TRUE,,,
server,shclustering,"artifact_status_fields","user, eai:acl.app , label",,,
server,shclustering,"async_replicate_on_proxy",TRUE,,,
server,shclustering,"captain_is_adhoc_searchhead",TRUE,,,
server,shclustering,"conf_deploy_concerning_file_size",50,,,
server,shclustering,"conf_deploy_fetch_mode",replace,,,
server,shclustering,"conf_deploy_fetch_url","https://ccblogamaster.jpmchase.net:8089",,,
server,shclustering,"conf_deploy_repository","$SPLUNK_HOME/etc/shcluster",,,
server,shclustering,"conf_deploy_staging","$SPLUNK_HOME/var/run/splunk/deploy",,,
server,shclustering,"conf_replication_find_baseline.use_bloomfilter_only",FALSE,,,
server,shclustering,"conf_replication_include.alert_actions",TRUE,,,
server,shclustering,"conf_replication_include.authentication",TRUE,,,
server,shclustering,"conf_replication_include.authorize",TRUE,,,
server,shclustering,"conf_replication_include.collections",TRUE,,,
server,shclustering,"conf_replication_include.commands",TRUE,,,
server,shclustering,"conf_replication_include.datamodels",TRUE,,,
server,shclustering,"conf_replication_include.event_renderers",TRUE,,,
server,shclustering,"conf_replication_include.eventtypes",TRUE,,,
server,shclustering,"conf_replication_include.fields",TRUE,,,
server,shclustering,"conf_replication_include.gdi_settings",TRUE,,,
server,shclustering,"conf_replication_include.health",TRUE,,,
server,shclustering,"conf_replication_include.history",FALSE,,,
server,shclustering,"conf_replication_include.html",TRUE,,,
server,shclustering,"conf_replication_include.limits",TRUE,,,
server,shclustering,"conf_replication_include.literals",TRUE,,,
server,shclustering,"conf_replication_include.lookups",TRUE,,,
server,shclustering,"conf_replication_include.macros",TRUE,,,
server,shclustering,"conf_replication_include.manager",TRUE,,,
server,shclustering,"conf_replication_include.metric_rollups",TRUE,,,
server,shclustering,"conf_replication_include.mlspl",TRUE,,,
server,shclustering,"conf_replication_include.models",TRUE,,,
server,shclustering,"conf_replication_include.multikv",TRUE,,,
server,shclustering,"conf_replication_include.nav",TRUE,,,
server,shclustering,"conf_replication_include.panels",TRUE,,,
server,shclustering,"conf_replication_include.passwd",TRUE,,,
server,shclustering,"conf_replication_include.passwords",TRUE,,,
server,shclustering,"conf_replication_include.props",TRUE,,,
server,shclustering,"conf_replication_include.quickstart",TRUE,,,
server,shclustering,"conf_replication_include.savedsearches",TRUE,,,
server,shclustering,"conf_replication_include.searchbnf",TRUE,,,
server,shclustering,"conf_replication_include.searchscripts",TRUE,,,
server,shclustering,"conf_replication_include.segmenters",TRUE,,,
server,shclustering,"conf_replication_include.tags",TRUE,,,
server,shclustering,"conf_replication_include.telemetry",TRUE,,,
server,shclustering,"conf_replication_include.times",TRUE,,,
server,shclustering,"conf_replication_include.tos",TRUE,,,
server,shclustering,"conf_replication_include.transactiontypes",TRUE,,,
server,shclustering,"conf_replication_include.transforms",TRUE,,,
server,shclustering,"conf_replication_include.ui-prefs",FALSE,,,
server,shclustering,"conf_replication_include.ui-tour",TRUE,,,
server,shclustering,"conf_replication_include.user-prefs",TRUE,,,
server,shclustering,"conf_replication_include.views",TRUE,,,
server,shclustering,"conf_replication_include.viewstates",TRUE,,,
server,shclustering,"conf_replication_include.workflow_actions",TRUE,,,
server,shclustering,"conf_replication_include.workload_pools",TRUE,,,
